taxon_id,photo_id,extension,observation_uuid,split
1516417,564286,jpg,2ffcb732-056c-4fc6-a87e-8ae515f42a2b,train
84806,259916305,jpg,c48f1041-cbd7-45a9-9db1-21858a3ae60e,train
816405,78625299,jpeg,d978911f-63d8-4962-aef9-f7077be2c100,train
1282834,1409113,jpg,aec2ddec-b2e6-4bc9-baaf-4024ee04c183,train
128162,11206350,jpeg,71e0782f-2750-446d-89cb-fab157d307b0,train
526799,248920058,jpg,46a168fa-9e63-4ef2-ba9a-e73e88305df9,train
1483651,54700963,jpg,a76a2ded-dd2b-4252-bf8f-c5453070aa83,train
326309,3404201,jpg,50cf5750-e3cb-407d-899e-53345201a2f9,train
124855,129254,JPG,a0ef2e84-99b7-4550-9832-5ba82cfd5644,train
738168,32515683,jpeg,ad731380-1e82-4eec-9134-6187c75beb76,train
93676,56900526,jpg,e1933e31-b816-4ab2-b6a8-fab7bdf89033,train
311112,89683971,jpg,d5b4faaa-2617-4578-9ccd-16a984da654e,train
893205,65518900,jpeg,fd1d98a5-f520-49d8-808b-569ea6aa61ab,train
464664,1895849,JPG,9ed1f1da-6f24-4f9a-aed4-410e2dd47b4b,train
816417,76267717,jpeg,85de2ced-4900-4dfd-9a26-f2ae2aae1cb4,train
48262,340222950,jpeg,b28a5490-e5e3-47d1-9799-33ba4ed0003c,train
876617,30293536,png,8112e091-413b-48a2-a4a5-6d40437dcd35,train
761096,2592519,JPG,6c04e634-5789-4480-860c-daf68506e34d,train
1194341,183776696,jpg,510ef58b-672f-4f46-b4b3-22f16306097e,train
319058,26742262,jpeg,a1abcc15-f701-4400-a3a9-0c1dcb8afbbf,train
257395,12606963,jpeg,277e0afe-64e1-41dc-81b5-f7292a845fc0,train
1391276,196876555,jpeg,87c7f340-cad3-41c9-a243-a4b2650e31b7,train
116681,108912733,jpeg,bc1553ea-5e47-4e9d-8772-e650f3c30234,train
1510115,182459054,jpg,d75ef5ff-2514-4a14-b574-fb8969bcd8de,train
816444,56508111,jpg,19af624c-8065-4e7d-8977-46272394c12d,train
47135,1409057,JPG,3c3dba44-d49e-4fb7-b6f9-6d1c032f402d,train
856607,30665123,jpg,4baa1aa0-463e-4d29-b4ec-588a334caad5,train
1319006,77742010,jpg,42e357c6-7ff7-4636-93b4-1f73b08187a8,train
553404,9081514,jpg,d4033ce7-fe08-45ba-be29-55674bee1d65,train
852543,1941241,JPG,d7352830-5e0f-4d53-bcca-8848d2af124f,train
372075,31158375,jpg,aadec569-46cc-4d4c-aa9f-7ea70bc32934,train
568426,87548262,jpg,2147a99e-ae83-49fc-9430-df29ddb62247,train
143476,4180193,JPG,9011c285-9fb9-42df-bff4-217a5a9457dd,train
1365171,182854229,jpeg,054489f7-e94a-4144-8d80-d17945b53aa5,train
1043776,60972014,jpeg,379705fe-4ba8-442a-8f7a-77cddc77fc17,train
64634,297772333,jpg,0aeafadc-1293-46cb-8713-41d339760956,train
704746,15861087,jpeg,5e0a2739-496e-4e9e-94c2-870e79567940,train
1305146,89677071,jpg,11aa8abc-e27e-4566-a0d0-411290c1e046,train
1235366,13469333,jpg,808b09f8-e836-47bb-a5cc-8a6c048c59a8,train
361362,43787318,jpg,fc45e394-be22-4bf1-8a08-5ca7822a2d6f,train
742621,34098765,jpeg,adaa415a-19db-47a6-8e34-60f2f9e1008f,train
790422,27271419,jpeg,8e7966f2-53d7-44de-be6d-8412220e4085,train
805850,337933208,jpeg,0bdf131b-5d00-4286-b5a7-84cabbfdff4e,train
526617,102444928,jpg,cacb08c2-3525-4820-954f-6c24b0e20bfe,train
805866,68694696,jpg,cdbf9a71-21c6-48e4-987b-8b35df4d809d,train
1130737,32606960,jpeg,f82d6817-2d40-4873-81ce-64407ce0d604,train
556721,60982278,jpg,6c99f813-f342-40b3-8848-74abd51a29d3,train
512730,5335149,jpg,4e1a3bdc-e8df-41c1-9de5-6e7011ec5211,train
132515,296680374,jpeg,13b25146-9d07-411a-b9e1-a9c5141ce3e8,train
539098,6673400,jpeg,039792a8-a70d-4b9b-980c-39acfaba48d4,train
1290788,162269946,jpg,bbb4cefe-e48b-43a6-8dc8-c0d07ee7ab5f,train
217623,9063311,jpg,b830a554-8c83-4726-959e-f722697ce84b,train
636459,13662350,jpg,67119e7a-bd18-4fec-b11f-63e2209dc181,train
311573,242962885,jpg,8e8a02b9-3f4a-4750-a46a-4c978141650d,train
343676,696487,jpg,105dbd70-c72e-463d-8885-d90919f3c89e,train
957329,37222554,jpg,b9ccc71c-0256-4b2e-a5e4-f8b2408f9b40,train
603288,102822727,jpg,13df050a-e6ea-4290-a75e-98abae133160,train
569368,1940949,jpg,00e41de9-cd61-44df-8b5a-872896c0979f,train
1366709,49593077,jpg,17747524-3c80-4ede-8a4e-4ac07423e5a3,train
748756,12149470,jpeg,d6eae39a-8484-4ae0-aaa0-9d5a7a1f4597,train
298365,683652,jpg,44b2d0df-79a7-4001-a485-0af3c2952a52,train
746303,56813044,jpeg,bdeafad2-0ca6-4278-9889-9c33f39ae650,train
518737,22570637,jpeg,6e467e87-c985-4ca4-b477-d74691988785,train
543277,114433556,jpg,cc11dace-2357-40b5-ab81-d9d8f96b7a4c,train
606539,52660491,jpg,3b8c69c2-6437-46b2-91fa-e7bda41087cd,train
781265,86870745,jpeg,320b4d40-57e8-4470-8208-c3ec8bc5464c,train
1338092,172919658,jpg,bc188124-50bf-4ea0-95eb-a640959387a8,train
307449,304926424,jpeg,081d0dde-2d6a-4641-b481-1902ae153889,train
1411179,318062024,jpeg,fc8244f2-7842-444a-8b02-da6e5ff9e575,train
519799,6949430,jpg,b9f18ceb-05bc-46e5-82d4-c92c60c444cf,train
751702,20488973,jpg,34f3b60b-6873-4270-b72b-48b18bc1f64c,train
1325150,107090872,jpg,ea04d1dd-c003-418b-8177-14fe798e4f12,train
760598,11973581,jpg,0b6bcd22-49ac-4641-bd81-91f6a2613af5,train
603800,12260572,jpeg,4cec9486-7a88-4afc-b0ba-7458bc4f6c69,train
70363,1945226,jpg,11acb00d-3d41-4de2-97be-9a4bc1deb55c,train
1147132,102443475,jpg,17c27694-8637-4b40-945f-8ce6865439c0,train
415285,256358178,jpg,0e99daf8-23e6-4dfe-ba85-a8b07460fafd,train
829233,108005840,png,d33e759f-d43f-4d43-add4-f8fba5087d55,train
789692,319910359,jpeg,9d2f6e48-d3dd-413e-aae5-d083b4b04bf4,train
958098,98930684,jpg,f09c9f0f-b7c6-4a2f-8b1f-a32283b5ed87,train
508293,1472888,jpg,1989af5d-5857-4388-a9e9-14717cd877cf,train
337716,86874099,jpg,787fa78d-2e62-4b0d-987c-1d1309beb2e5,train
1493694,174878705,jpg,8d0260e1-1439-4229-89f9-2cd374931684,train
197199,5463736,jpg,7287e9c0-01d4-49a5-b73d-256bb4ca956c,train
1393272,199349901,jpeg,28365471-e057-48c4-bbe9-be625be01bbe,train
102678,1570565,jpg,54f27f5c-1e40-4062-b15d-b7b005acd1fb,train
103145,2786514,jpg,034c788c-f3e6-42c0-a8a6-10bb61142c80,train
835243,60844823,jpg,c70717af-281b-4059-94a0-45ab666b4098,train
993513,58329719,jpg,c0153f6b-530c-482a-865c-afba7ada3245,train
199940,12922394,jpg,ae65a500-6286-4c98-b99d-0ad1320f95d4,train
1061468,64729936,jpeg,a017777a-394b-4bf9-a114-4431065025b9,train
1455647,185648790,jpg,dd756719-e138-4c30-8749-e352768d5c42,train
1406010,219514353,jpeg,ea9bec93-7ba9-4133-bc0f-c342d4a0e751,train
714261,31496650,jpeg,cfc8ec1c-2509-43b1-8053-8db0612e4f46,train
1183010,110746649,jpg,363ebac3-1dd7-40a9-84bc-808642f67c69,train
1474701,244708786,jpeg,84f1d76d-c7d9-4e99-80dd-9e01f203bfc9,train
817872,12607172,jpg,3ef09514-8bc6-44d1-968d-be290c8786d1,train
335188,10798171,jpg,7464f19b-9744-426b-a7f5-3937eb6ac43a,train
531652,79339097,jpeg,a4b2228b-c4ca-4100-8103-c995c04be0f7,train
709580,5220771,jpg,002cd1d0-76c8-445d-bfb2-dc8d13613fa4,train
325454,6422036,jpeg,2d99669d-d716-4d3f-bbd4-0a3df6d5e3d7,train
1498039,303607909,jpeg,bfac64e1-d710-454d-acf5-fb8d83651488,train
566616,867160,jpg,0fb73fe5-b7fb-4946-abbc-28127792ccbd,train
749012,108568960,jpeg,d87835f7-63d7-4569-950a-dc7666d7b85f,train
810340,222871453,jpg,e3b3fca1-1a64-4c53-ad77-c043b1679d84,train
802477,83803209,jpeg,b1db11a9-48cb-4ba9-989a-528ae419520f,train
533156,48525857,jpeg,8c095e78-6198-4d23-adf5-bcc7df54160f,train
84185,255111353,jpg,e56d8b69-d480-4b32-9bec-a0b27bed023f,train
1372842,235765184,jpg,ad1d4942-f24a-424b-9c84-f47ac01f735c,train
501047,4239901,jpg,e622ca70-9a5c-4e6f-8ff6-46bd8bdef497,train
951666,8217005,jpeg,a27b3b52-d8ab-4fa4-8f43-b91b148d2fb7,train
1147129,102443418,jpg,b24e8fff-f724-4f9c-8fdd-acf6983434c1,train
1472135,286287513,jpg,962a93b3-eb21-4d54-ba7b-b1b08cbe4a4b,train
1196331,196896235,jpg,e4532d45-5f89-48c0-923c-31c07532ac46,train
1155222,106260468,jpg,aa9e40a5-bc40-4bb0-b448-e04e73a06ecf,train
1354770,568597,jpg,0ab8475d-3fa5-4714-96c4-26102ce0aeec,train
750684,11607807,jpeg,f7905947-c3a5-4ec9-8a60-bf0a1c6ed306,train
1160656,43779603,jpeg,e990cabb-a1b4-4e61-832e-7ae40dfe5247,train
270994,157799008,jpeg,6aabdf11-7b19-4a30-9f61-7412fe479127,train
835693,45289691,jpeg,36163e52-c11c-47f8-a027-7ffd29c3366b,train
106828,4969896,jpg,fd1dfde8-844e-49df-adf4-2344769cb2e9,train
623208,331629,jpg,ff897096-7e44-4be4-b4e5-e18050fc6319,train
298372,23563593,jpg,6d7e18da-e3c3-4690-b5ab-f561e7eb3784,train
1319575,64378101,jpeg,17d8b108-d589-4119-96da-725c32ba3d57,train
1291894,163329128,jpeg,a44502d6-b0c0-4455-adc7-1a09495acb06,train
818372,61392447,jpeg,d505ed6d-02cd-486a-b749-aadf88ad77e9,train
1060850,138280696,jpg,dc91c81f-b17b-4b46-b426-e138889fba91,train
534971,196388206,jpg,520c761a-a053-40c2-8788-cbfd59655a6b,train
128044,977343,jpg,0f0964d0-4f3c-43de-a31e-a472765b7c3e,train
1515376,309322269,jpg,0345e35e-c282-448a-bf99-826aa8748ed6,train
815715,48903639,jpg,89913301-a9bb-4a4f-9d7f-bfbe42463927,train
296401,38258596,jpg,3e7f9fac-3a1d-4b9d-b0f7-7eaa68142b0c,train
551923,34798,jpg,5fd2cf4f-bfce-490a-a20a-609493d47df1,train
1069084,66823926,jpg,9c8480cc-e484-4787-a803-cfe6245fd165,train
197439,123755952,jpeg,bc910d91-4d8b-4ae7-b521-b1aaf1584b20,train
1306026,98463603,jpg,54f522ba-68e7-4802-b33a-9264cfc112bf,train
1425524,241878436,jpeg,5b349ee6-594b-450e-8152-3383a6d40b86,train
1065084,57964501,jpeg,49cb1810-0f38-4fe6-baa3-c78b10638f77,train
468213,67785004,jpeg,a5753c97-e6fb-42ad-b393-daaa303a77ed,train
551371,262595844,jpg,aab18461-816b-4e91-8b03-a848cbfca0fe,train
1303833,112728132,jpg,9e777dad-0b0e-45cf-b8a8-77ff44556751,train
1023137,60363166,jpg,5abdae43-58bf-47ab-b24b-ff49c7002f96,train
472794,6253347,jpeg,0d50fb39-30c8-4e9b-9523-db03ffe8bd85,train
70997,190040,jpg,e0afd78c-2160-44e2-9c6b-ddab4d59df32,train
1193959,112456431,jpeg,3d032ff3-2436-48af-85b5-b5e5960488b9,train
1356539,241257534,jpg,4083ebaf-fc5b-4212-85a3-5f111fee2042,train
82231,1590700,jpg,ff4babb4-9e85-4919-b96e-84edcc67c43e,train
109147,168561786,jpeg,dcdcdd76-0583-4020-89e1-e43669d87eb0,train
1257678,138280632,jpg,32a53c82-f274-4f80-98ba-af75f831f9ce,train
109280,4969886,jpg,d128bdd3-4d7d-4bf8-9ad6-84554081c772,train
543256,3527369,JPG,4b3e1db2-d08f-4234-a33f-1b6eb9e36ca3,train
197246,9102355,jpg,563f6b23-cda1-4c01-8cb7-e438bf6fa8a4,train
781221,25536995,jpg,3bf38082-99fe-4617-8d57-4147b58c683d,train
1247897,153351,JPG,db9c3fee-9064-40e1-8e80-04a513f55b0c,train
296303,23697345,jpg,c69f5a37-98ef-4dba-b7bc-437c2c0e412a,train
197204,9661232,jpeg,280b7343-daa9-4549-ba0d-c8b71d73e454,train
1008099,2414449,jpg,32682fd9-a8cb-4694-a227-e34558d825b0,train
854942,61177744,jpeg,9aa4c28a-a01e-49af-a697-a85dcff39200,train
744038,65049035,jpg,30fb9d62-684b-42e8-84a2-657a0bb0bdf9,train
1089378,74304687,jpeg,c22509b1-429e-4960-8548-35ac07825e06,train
259406,15037289,jpeg,ed48eccb-dc2c-42a3-8aff-cdd230184c6a,train
360180,1377130,jpg,3e408755-bc36-47a1-9b24-a023fa90b74b,train
271163,231316230,jpg,15cb5f93-25c1-44c3-b87a-4f14d95345d6,train
301741,111238850,jpeg,5a3c2eb2-25b4-4014-ad16-1b7c881d5ed5,train
84635,12755952,jpg,d5729636-51e2-4206-af96-6860274bf360,train
1494148,317272189,jpeg,e848e28d-3790-4955-b5b1-71c513a481a2,train
307029,74122439,jpg,36b82ad1-0ca7-4abc-9e52-2f76e31b3c28,train
793955,23205818,jpg,52e6edda-d2c7-4f12-935a-cf0e1823c045,train
687279,286766157,png,6f256b8d-a637-46b0-908b-2e40323a320e,train
308348,71686467,jpeg,3e821644-c07e-4c63-9188-ec6049d7e114,train
1040803,234925556,jpg,1c04f31a-c7e7-4dcb-84ac-f607ae7bc6c7,train
1507658,107884261,jpeg,3ae45173-7983-448d-a980-c42a02944699,train
366500,9418558,jpeg,d2692b4c-377f-4e47-8d50-bcddd10ca7c1,train
977312,12691035,jpg,a8d8f980-ed45-4a5a-87d3-78fbfb82ba0b,train
111811,120838277,jpeg,016277c4-0cc3-4faa-a628-9500a7d61e2a,train
762203,28309317,jpeg,545c30d9-5cec-48cf-9acb-4d2c23ec4ae7,train
1428153,112830720,jpeg,c206194e-bbce-49c2-b910-5f0671088662,train
340923,178153751,jpeg,29cdc124-c663-410a-af2c-21df05db2887,train
1373523,176672562,jpeg,3188b22b-cba9-42ca-a6b4-b3de91ca3b13,train
199928,31229776,jpeg,36431064-5d06-4f97-935e-2405448c140b,train
817459,98640009,jpg,238245f5-d476-4a6e-840e-3c8cc43de21b,train
1449664,256232960,jpg,f1a4f950-1975-45e6-9805-f7d3c439e95a,train
759938,58945258,jpeg,92a1931f-227d-4c3d-a42c-ed3704dbcfa6,train
521300,17685611,jpeg,851f3af0-9af1-4ab1-9be3-1b76a94d28a9,train
320317,25147133,jpeg,5fc79aef-bcb7-4922-9e0c-b0b1307323b5,train
1186269,33065532,jpeg,94b58ead-1255-479a-8966-1e0afa777667,train
854191,30345685,jpg,2b1840d4-addc-46f3-9ab3-dbe422664357,train
887920,40176927,jpeg,3b61fcfd-593b-4d2b-9dc2-6972898e9982,train
537073,60986185,jpeg,54a88594-e5d8-48aa-8cc7-b427beb2bf4a,train
324221,13265519,jpg,4861cc40-aa05-412c-922f-6eb7897539bf,train
781280,33771694,jpeg,7a65a883-2f35-4a25-93da-e1c6bbc49ffe,train
855562,4315861,jpg,b85fb923-bb47-436f-9645-127234b67498,train
1112996,84984027,jpg,47f2689a-42c9-453a-95b4-f60ca736f86b,train
1097455,56078598,jpeg,053fba6b-ea7d-4685-905a-9e8f31355108,train
1275100,129434275,jpeg,32807254-6649-40fc-a589-67c2a2ea5cb3,train
1361316,180349725,jpg,11a75e2d-5264-424d-9839-8a6000370b48,train
1516415,339531981,jpg,e49451fd-5323-4543-8e31-6a3a5b3f2d29,train
568731,10000320,jpeg,312d29b5-df86-4bac-a2ae-6cb3ed2564c2,train
410937,111442016,jpeg,ce76bfb0-22b4-44fa-930c-5150f3992ab4,train
114024,1570334,jpg,80f9e343-6d35-402b-a7eb-b3e4fb163202,train
527415,102444946,jpg,dcd14c4b-a89a-45d5-b038-ff468e4b2b9a,train
954772,53117336,jpg,9682da38-d741-4b31-ae5b-47776a0fb7b4,train
904336,15351,jpg,cc35bdc1-496d-4b93-933f-7b3c8d108fed,train
785261,67984389,jpeg,cb58c532-34c7-4d1e-a740-f549d0b64194,train
120911,1527190,jpg,1fbe9aea-af63-4b42-a281-503d70b154f2,train
760389,35030124,jpeg,e02c1c77-c5b5-4641-b929-1b78584281b2,train
1061461,27561243,jpeg,7c92441d-65c2-46db-9222-58a64b864bce,train
501420,157154582,jpg,a05574ea-f114-4e8e-8fd7-a1bbb112565b,train
826303,279218312,jpeg,c224d008-210a-4a72-8484-665adcbb47a9,train
716988,19382314,jpeg,77f86a7c-6c6e-49e8-b600-fa7c82480c4a,train
1074648,2867713,jpg,0b2aff2e-9c38-4f09-af6c-ab6b3647d1c0,train
1238923,148307110,jpeg,18d595aa-36d6-40bd-a39f-1634a38c8619,train
535910,247813455,jpg,884804f0-6e96-4d05-bd06-71e56f52c521,train
808717,13109293,jpeg,9c65de55-1e2f-46ba-80ec-38c1d4faf2b3,train
